명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,좌석수,주차 시설,어린이놀이방,개업일,영업시간,쉬는날,대표메뉴,취급메뉴,할인정보,금연/흡연,신용카드정보,포장가능,예약안내,상세정보,인허가번호
골목식당,63192,,,제주특별자치도 제주시 중앙로 63-9,33.5118512570,126.5250282923,"골목식당은 제주 동문재래시장 중앙로 쪽 끝 동문 골목시장 안에 있다. 제주 로컬푸드인 꿩 메밀 칼국수를 만드는 곳으로 흔치 않은 메뉴의 도민 맛집이다. 50년 이상 이곳에서 장사하고 있으며 주인 할머니가 온종일 꿩고기와 꿩 뼈를 우려 육수를 내고, 손반죽해 메밀국수를 만든다. 밀가루 국수와는 달리 메밀국수는 툭툭 끊기기 때문에 숟가락으로 퍼먹어야 하며 육수와 메밀이 어우러져 걸쭉하고 구수한 맛이 난다. 주변 여행지로 제주 원도심, 관덕정 등이 있다.",064-757-4890,,,있음,0,,매일 10:30 ~ 20:00,연중무휴,꿩메밀칼국수,"꿩구이, 꿩샤브, 꿩탕",,,,,,,20110627103
나라돈까스,63070,,,제주특별자치도 제주시 절물1길 23,33.4907687730,126.4316424459,"나라돈까스는 제주 외도동 월대천 근처에 있다. 옛날 돈가스 전문점으로 오래된 영화 포스터 등 빈티지한 인테리어에 크림수프가 나오고, 된장국, 김치와 함께 추억의 맛을 즐길 수 있다. 공항 근처 옛날 돈가스집으로 소문이 나면서 실내 인테리어를 재정비하고 메뉴도 늘렸다. 기본 돈가스의 경우 자극적이지 않은 수제 소스에 돈가스 양이 푸짐하게 나오며 남은 음식은 셀프 포장해 갈 수 있다. 주변 여행지로 내도 알작지 해변, 월대천 등이 있다.",064-711-0221,,,없음,0,,11:00 ~ 20:00,월요일,나라왕돈까스,"흑돼지왕돈까스, 불타는왕돈까스, 반반왕돈까스, 새콤쫄면 등",,,,,,,20060628218
당당,63047,,,제주특별자치도 제주시 중엄안1길 25,33.4744723929,126.3708925420,"당당은 제주 애월 일주서로 아래쪽에 있는 브런치 카페로 크림 위에 살구를 올려 마치 계란프라이처럼 차려 나오는 당당 수플레 팬케이크가 유명하다. 또한, 토치로 구운 바나나, 트뤼프 베리 컴포트 등도 인기 메뉴로 여행자들의 인증샷 성지이기도 하다. 자리가 협소한 편이라 13세 이상만 출입할 수 있으며 팀당 4명 이하로 제한하고 있다. 주변 여행지로 구엄리 돌염전, 구엄포구가 있다.",070-4159-0327,,,있음,0,,10:30 ~ 17:00,화요일,당당수플레,"브런치수플레, 아메리카노, 카페라떼",,,,,,"화장실:있음
",20190620244
온차,63277,,,제주특별자치도 제주시 서부두남길 12,33.5151842636,126.5276835417,"온차는 제주 원도심 산지천 옆 북수구광장 근처에 있다. '온차'는 제주 사투리로 '통째'라는 뜻을 가지고 있으며, 제주 식재료를 오롯이 소개하고자 하는 의미를 담았다고 한다. 계란을 부드럽게 풀어 모양을 낸 회오리 오므라이스와 제주 흑돼지로 만든 등심 돈가스, 한정 메뉴인 치즈돈가스가 있으며 계절 메뉴로 소바 세트가 있다. 주변 여행지로 제주 원도심, 산지천, 제주민속자연사박물관 등이 있다.",064-756-6860,,,있음,0,,11:00 ~20:00 (15:00 ~17:00 브레이크 타임),금요일,회오리 오므라이스,"흑돼지등심돈가스, 치즈돈가스 등",,,,,,,20200622463
중문회포장센터 새벽야시장,63546,,,제주특별자치도 서귀포시 중문관광로 293 중문에이스부동산,33.2466568335,126.4292786894,"중문회포장센터 새벽야시장은 중문관광단지 ICC 제주국제컨벤션센터 근처에 있다. 고등어회, 딱새우회, 갈치회 등 각종 모듬회를 포장해 갈 수 있는 곳으로 가성비 맛집이다. 새벽 1시까지 운영하고 있어서 야식 포장하기도 좋고, 40여 석 정도 되는 매장에서 늦은 시간까지 먹을 수도 있다. 인터넷 예약과 배달도 하고 있어서, 중문관광단지 내에서 숙박하는 여행자라면 배달해서 먹을 수 있다. 주차 공간도 여유로운 편이다. 주변 여행지로 대포주상절리, 베릿내오름, 천지연폭포, 중문색달해수욕장 등이 있다.",0507-1333-3416,,,있음,0,,15:00~01:00,연중무휴,고등어회+딱새우회+갈치회+모듬회 세트,"고등어회, 딱새우회, 해산물모듬, 전복버터구이 등",,,,,,,20180624079
트로피컬 하이드어웨이 카페,63512,,,제주특별자치도 서귀포시 형제해안로 284,33.2092671261,126.2912859363,"트로피컬 하이드어웨이 카페는 사계 형제해안도로 송악산 근처에 있다. 자연친화적인 브런치, 베이커리를 맛볼 수 있으며 저녁에는 생맥주 펍으로 운영한다. 튀르키에식 피데 스타일의 피자를 맛볼 수 있으며 후무스 샐러드, 팔라펠 플래터, 리코타 샐러드 등의 지중해식 브런치 메뉴는 오후 5시까지 서비스 한다. 같은 건물에는 인피니티풀을 갖춘 트로피컬하이드어웨이 리조트를 운영 중이다. 주변 여행지로 산방산, 사계해변, 송악산 등이 있다.",064-792-1461,,,있음,0,,10:00~21:00 (20:00 라스트오더),"매월 첫째, 셋째 일요일",후무스샐러드,"팔라펠플래터, 트로피컬리코타샐러드, 카프리초사피자, 스파이시 트로피컬 버거 등",,,,,,,20170632144
애플망고1947,63516,,,제주특별자치도 서귀포시 신평로 32,33.2662630814,126.2575126051,"애플망고1947은 제주 서귀포 신평리 마을회관 근처에 있다. 아버지의 애플망고 농장을 이어 2대째 애플망고 농사를 짓고 있는 주인장이 운영하는, 애플망고 전문 카페이다. 직접 재배한 애플망고를 아낌없이 올려주는 애플망고 빙수가 시그니처이고, 애플망고주스, 애플망고요거트스무디와 함께 대정마농빵도 판매한다. 마농은 제주어로 '마늘'로 대정읍에서 나오는 재료를 사용한다. 제주 중산간의 한가로운 마을 분위기가 있으며, 주변 여행지로는 제주곶자왈도립공원이 있다.",064-732-1947,,,,0,,11:00~19:00 (18:30 라스트오더),수요일,제주애플망고빙수,제주애플망고주스 대정마농빵 젲주애플망고요거트스무디 아메리카노 등,,,,,,,20200624367
동도원,63543,,,제주특별자치도 서귀포시 이어도로 189,33.2396578025,126.4417555420,"제주공항 근처에서 서귀포로 이전한 동도원은 대포포구 근처에 있다. 고등어조림, 옥돔구이, 해물뚝배기가 기본으로 제공되는 정식 단일메뉴로 상차림이 푸짐할 뿐 아니라 손맛이 좋고 깔끔하다. 쌈 채소와 다양한 나물이 밑반찬으로 나와 산채비빔밥을 만들어 먹기도 좋다. 아침 식사하기에 좋고 가족 단위 여행자들이 많이 찾는다. 농림축산식품부가 인정한 안심식당이다. 주변 여행지로 대포주상절리, 중문관광단지 등이 있다.",064-738-2201,,,있음,0,,09:00 ~ 21:00 (20:15 라스트오더),연중무휴,정식,정식,,,,,,,20210624134
문쏘 제주협재점,63012,,,제주특별자치도 제주시 한림상로 15-5,33.4057282066,126.2569178869,"문쏘는 한림방파제 근처에 있다. 오키나와 컨셉의 퓨전 음식점으로 제주 황게 한 마리가 통째로 들어간 중화풍 황게커리가 시그니처 메뉴이다. 문쏘는 아시아의 미슐랭이라고 불리는 '미식림' 100선에 들었으며, 제주 로컬 식재료를 이용해 차려내는 파인다이닝을 맛볼 수 있다. 입구부터 외관과 인테리어 모두 사진 찍기에도 좋은 독특한 분위기로 다섯 가지 컨셉의 인테리어 룸이 있다. 주변 여행지로 협재해수욕장, 금능해수욕장이 있다.",064-796-4055,,,있음,0,,"10:30 ~ 20:20 (16:30~17:00 브레이크타임, 19:35 라스트오더)",목요일,황게카레,"에그인헬, 고등어밥, 쿠로부타동, 에그인헤븐, 토마토맥주 등",,,,,,,20190621464
바다제비,63032,,,제주특별자치도 제주시 한림로 640,33.4133496661,126.2620867111,"바다제비는 한림읍 주민자치센터 옆에 있다. 굵고 둥근 면에 딱새우가 올라가는 칼국수는 점성 있는 얼큰한 국물에 맵기를 선택할 수 있다. 밀가루를 거의 쓰지 않고 야채 튀김처럼 나오는 한치파전이 인기 메뉴이고 몸국에 칼국수를 넣은 몸칼국수도 독특하다. 주변 여행지로 비양도 가는 한림항이 있고 협재해수욕장, 금능해수욕장, 금능석물원 등이 있다.",0507-1345-4548,,,있음(한림읍 주민센터 공영주차장 이용),0,,"10:00~20:00(라스트 오더 19:00), 월요일 10:00~18:00(라스트 오더 17:00)","매주 화요일, 마지막 주 수요일",몸칼국수,"얼큰 칼국수, 한치파전 등",,,,,,,20170628499
카페콜라,63024,,,제주특별자치도 제주시 일주서로 5857,33.4433440378,126.2919278890,"카페 콜라는 귀덕리 일주서로 대로변에 있다. 코카콜라 수집을 계기로 2015년 9월에 오픈하였으며 다양한 콜라 소품을 전시한 테마 카페이다. 1층과 테라스는 식음료를 즐기는 카페이고, 2층은 콜라 전시장이다. 카페 뒤편에는 마을 용천수가 있으며 캠핑도 할 수 있다. 커피와 콜라를 섞은 커피콕을 비롯해 체리콕, 알루콕 등 컨셉 음료를 맛볼 수 있으며 전시된 소품 중에는 구매할 수 있는 것도 있다. 주변 여행지로 곽지해수욕장, 한담해안산책로 등이 있다.",0507-1408-9969,,,있음,0,,10:00~18:00,화요일,커피콕,"고르곤졸라피자, 에스프레소, 아메리카노, 체리콕, 알루콕 등",,,,,,,20150628132
스테이위드커피,63077,,,제주특별자치도 제주시 해안마을5길 29,33.4582838623,126.4557438621,"스테이위드커피는 제주시 평화로 중산간 쪽 해안초등학교 근처에 있다. 오랫동안 '최남단 로스터리 카페'로 유명했던 스테이위드커피가 제주시 해안동으로 이전하면서 오션뷰가 아닌 한라산 뷰 3층짜리 대형카페가 되었다. 핸드드립 커피전문점으로 세계 각국의 스페셜티 커피를 맛볼 수 있으며, 원두와 드립백 커피를 매장에서 판매하며 인터넷 주문도 할 수 있다. 오전 9시에 오픈하여 간단한 베이커리와 브런치도 제공한다. 3층에서는 원목 가구를 전시, 판매한다.",070-4400-5730,,,있음,0,,09:00~18:00(라스트 오더 17:30),연중무휴,핸드드립커피,"아메리카노, 달달플랫화이트, 수제바닐라라떼, 잠봉뵈르크루와상 등",,,,가능,,"화장실:남녀 구분
",20210622245
카페더라이트,63643,,,제주특별자치도 서귀포시 한도로 269,33.4656657488,126.9360103489,"카페더라이트는 성산일출봉과 우도 가는 성산포항 종합여객터미널 사이에 있다. 공간은 빛을 주제로 하며 주변을 밝혀주는 빛, 평안함이 스며드는 곳이라는 의미를 담아 깔끔하고 밝은 인테리어와 큰 창문을 가지고 있다. 다양한 디저트와 음료는 모두 수제로 만들고, 통유리창을 통해 성산일출봉과 우도를 가까이 볼 수 있고 루프탑의 그네 포토존도 인기이다. 근처 여행지로 성산일출봉, 광치기해변, 섭지코지 등이 있다.",064-784-0080,,,있음,0,,10:00~20:00(라스트 오더 19:30),일요일,시그니처더라이트 감귤에이드,"시그니처더라이트 감귤라떼, 시그니처더라이트아인슈페너, 청귤에이드, 감귤차, 크렘브륄레 등",,,,,,,20200624185
중문해물라면오빠네 본점,63534,,,제주특별자치도 서귀포시 일주서로 962,33.2583635404,126.4080774899,"중문해물라면오빠네 본점은 중문관광단지 예래입구사거리 근처에 있다. 인테리어부터 메뉴까지 주인장이 직접 만들고 개발한 것으로 대표 메뉴인 문어해물라면은 라면스프와 캡사이신을 넣지 않고 비법소스를 직접 만들어 제공하고, 전복치즈밥은 리조또풍의 시그니처 메뉴로 문어라면과 잘 어울린다. 제주산 보말과 미역을 넣은 전복보말칼국수, 제주 흑돼지로 맛을 낸 꼬기라면도 인기다. 주변 여행지로 중문관광단지, 대왕수천예래생태공원 등이 있다.",064-738-8957,,,있음,0,,"10:00~20:00(브레이크 타임 15:00~17:00, 라스트 오더 19:00)",연중무휴,문어해물라면,"전복치즈밥, 전복보말칼국수, 꼬기라면 등",,,,,,,20170631963
중문색달통갈치조림구이,63535,,,제주특별자치도 서귀포시 일주서로 993,33.2583912595,126.4045389069,"중문색달통갈치조림구이는 중문관광단지 서쪽 예래천 근처에 있다. 통갈치요리 전문점으로 갈치조림, 옥돔구이, 돔베고기, 황게장, 전복장, 톳밥, 들깨미역국, 계절 반찬으로 상차림 세트 메뉴를 제공한다. 상차림이 푸짐하여 가족 여행자들이 많이 찾으며 통갈치구이의 경우 직원이 직접 먹기 좋게 살을 발라준다. 단체석, 어린이 의자가 있으며 반려동물 동반할 수 있다. 주변 여행지로 중문관광단지, 대왕천예래생태공원 등이 있다.",064-738-2088,,,있음,0,,10:30 ~ 21:00 (16:00~17:00 브레이크타임 20:00 라스트오더),연중무휴,색달스페셜,"커플세트, 갈치조림한상, 통갈치구이한상 등",,,,,,,20190624280
앙끄레국수 서귀포본점,63572,,,제주특별자치도 서귀포시 법환상로2번길 97-18,33.2474636019,126.5117576314,"앙끄레국수 서귀포본점은 제주월드컵경기장 옆 대륜동주민센터 뒤편에 있다. 제주산 1등급 돼지고기를 쓰는 앙끄레국수는 돼지 사골을 12시간 이상 푹 고아 국물을 만드는 고기국수와 수두리 보말국수 전복고기국수, 전복비빔국수, 성게국수 등 국수 전문점이다. 주차장이 넓고, 아기 의자 등을 비치하여 가족 여행객, 단체여행객이 이용하기 좋고, 당일 영수증을 지참할 경우 세리월드 30% 할인 티켓을 제공한다. 근처 여행지로 세리월드, 법환포구 등이 있다.",064-739-2999,,,있음,0,,09:00~19:30(라스트 오더 19:00),"첫째, 셋째, 넷째 수요일",수두리 보말국수,"전복고기국수, 성게국수, 고기국수, 비빔국수, 멸치국수, 수육 등",,,,,,,20110631296
뷰스트,63528,,,제주특별자치도 서귀포시 형제해안로 30,33.2278069374,126.3034900221,"뷰스트는 형제 해안도로 사계 해변 앞에 있다. 바다 쪽 액자창이 유명한 오션뷰 카페로 View the Best를 축약한 말뜻처럼 최고의 전망을 자랑한다. 바다가 보이는 창문은 곧 포토존이고, 이를 통해 제주 남쪽 바다, 형제섬이 보인다. 모든 음료 화려하고 색감이 있어 이 또한 SNS용 인증 컷 찍기 좋다. 내부 플랜테리어와 루프탑, 창으로 들어오는 빛도 화려하다. 주변 여행지로는 산방산, 송악산, 사계해변, 용머리해안 등이 있다.",0507-1356-9272,,,없음,0,,10:00~21:00,연중무휴,현무암라떼,"화산송이라떼, 밤라떼, 레몬스파클링, 모히또스파클링 등",,,,,,,20190624573
그리운바다성산포,63643,,,제주특별자치도 서귀포시 성산등용로 94,33.4698901853,126.9299885503,"그리운바다성산포는 성산포 종합여객터미널로 들어가는 길 입구에 있다. 이 지역 택시기사님들의 추천 맛집이자 전직 대통령도 다녀간 고등어회 전문집이다. 싱싱해야 먹을 수 있는 고등어회, 은갈치회를 비롯해, 전복 성게미역국, 회국수 등이 인기이다. 고등어회, 깻잎, 와사비밥의 삼합 시식이 별미이며, 코스 주문 시, 제주황게장을 서비스로 제공한다. 근처 여행지로 성산일출봉, 광치기해변, 섭지코지 등이 있다.",064-784-2128,,,있음,0,,09:00~21:00,화요일,그리운 한상차림,"바다 한상차림, 성산포한상차림, 고등어회, 은갈치회 등",,,,,,,19910631086
벙커하우스,63573,,,제주특별자치도 서귀포시 막숙포로41번길 66,33.2404894900,126.5192349174,"벙커하우스는 법환포구 근처 범섬이 보이는 바닷가, 올레 7코스가 지나는 길에 있다. 카페 전체가 반원형의 벙커 모양을 하고 있으며 1, 2층 넓은 공간에 바다를 향해 창이 나 있다. 대표메뉴인 봄날은 한라봉, 키위 스무디이고, 다양한 제철 스무디, 빙수, 에그타르트, 베이커리와 디저트를 맛볼 수 있다. 차림새가 예쁘고 바다를 배경으로 인증샷을 찍을 수 있어 여행자들에게 인기이다. 2층에는 8명 이상 함께 앉을 수 있는 큰 테이블이 있어 단체 모임하기 좋다. 반려동물은 실내에서는 동반이 불가하다.",0507-1358-0803,,,카페 옆 주차장(전기차 충전 가능),0,,09:00~21:00,연중무휴,봄날,"벙커크림라떼, 벙커딸기라떼, 치즈브레드, 수제청귤차 등",,,,,,,20190624307
효퇴국수국밥,63183,,,제주특별자치도 제주시 서사로 122-1,33.5015661986,126.5196123300,효퇴국수국밥은 제주시 서사라 사거리 근처에 있다. 1대 창업주의 육수 기법을 그대로 전수받아 2대째 운영하고 있으며 고기국수 맛집으로 알려져 있다. 주문과 동심에 면을 삶고 다른 국숫집과 달리 유부가 고명으로 올라간다. 최근 몇 년 사이에는 백종원 단골집으로 유명세를 타면서 대기 줄이 길어졌다. 게다가 점심시간만 운영하므로 방문 전 영업시간을 반드시 체크해야 한다. 주변 여행지로 제주 원도심이 있다.,064-721-8779,,,없음,0,,11:00 ~15:00,일요일,고기국수,"따로국밥, 멸고국수, 비빔국수 등",,,,,,,20120627627
에이바우트커피뷰 하귀포구점,63053,,,제주특별자치도 제주시 하귀12길 21-21~3층,33.4864855452,126.4083917867,"에이바우트커피뷰는 하귀 항포 포구에 있다. 포구를 조망하는 오션뷰 카페로 실내 공간뿐 아니라 옥상에 올라가면 시원한 바다 풍경을 볼 수 있다. 대부분의 좌석에 콘센트가 있고 핸드폰 충전을 할 수 있도록 하여 휴가 중 업무가 필요한 여행자들이 많이 찾는다. 넓은 공간과 다양한 좌석, 가성비 카페로 유명하며, 아침 7시 30분부터 오픈하여 간단한 아침 식사를 할 수 있다. 주변 여행지로 알작지해변, 항파두리항몽유적지 등이 있다.",064-711-5558,,,있음,0,,07:30~22:00,연중무휴,아메리카노,"에스프레소더블, 카푸치노, 하이엔드자몽티, 그릭요거트플레인 등",,,,,,,20200622252
송림반점,63168,,,제주특별자치도 제주시 관덕로 2-1,33.5124511065,126.5197592925,"송림반점은 제주 구도심 서문사거리에 있다. 70년 된 노포로 1950년대에 화교가 처음 오픈했고, 이후 세 번의 주인이 바뀌고 1979년부터 지금의 주인이 운영하고 있다. 제주도 내 옛날식 중화요리 도민 맛집이다. 대표메뉴 간짜장은 해산물과 돼지고기가 넉넉하게 들어있고 뒷맛이 칼칼한 것이 특징이다. 제주산 돼지고기를 사용하는 탕수육은 육질이 쫀득하다. 주변 여행지로 관덕정, 제주목관아, 제주 원도심 등이 있다.",064-722-4229,,,있음,0,,11:00 ~ 19:00,연중무휴,짜장,"탕수육, 간짜장, 짬뽕, 볶음밥, 잡채밥 등",,,,,,,19790627039
마마롱,63062,,,제주특별자치도 제주시 평화로 27831층,33.4521870521,126.4391926606,"마마롱은 제주시 평화로 제주관광대학교 옆에 있다. 서귀포의 유명한 수제케이크 카페 마마롱의 2호점으로 다양한 케이크와 에끌레어, 마카롱 등 달콤한 디저트를 판매한다. 100% 동물성 생크림을 사용해 당일 생산 판매하며 늦은 오후 방문 시 원하는 케이크가 소진될 수 있다. 빈티지한 소품과 과하지 않은 샹들리에, 창밖의 초록 등 사진찍기 좋은 분위기로 여행자들이 많이 찾는다. 주변 여행지로 항파두리항몽유적지가 있다.",064-747-1074,,,있음,0,,10:00~19:00,"월요일, 화요일",마마롱케이크,"마카롱, 에끌레어, 밀푀유 등",,,,,,,20150628693
남춘식당,63216,,,제주특별자치도 제주시 청귤로 12,33.4996944686,126.5375247049,"남춘식당은 제주시 이도동 주택가에 있다. 소박한 외관과 서민적인 분위기의 좌식 테이블, 메뉴 구성이 단출한 남춘식당은 돼지 수육, 당근, 대파를 넣어 끓인 국물에 통통한 면을 말아 내오는 고기국수와 당근, 시금치, 소고기와 유부만을 넣은 김밥이 대표메뉴이다. 여름에는 진한 국물 콩국수가 인기로 대기 줄이 길다. 주변 여행지로 제주도 민속자연사박물관, 벚꽃으로 유명한 신산공원 등이 있다.",064-702-2588,,,공영주차장,0,,11:00 ~ 17:00 (라스트오더 16:30),일요일,고기국수,"김밥, 콩국수, 멸치국수, 비빔국수 등",,,,,,,19980628123
하버39,63596,,,제주특별자치도 서귀포시 천지연로 391층,33.2423510744,126.5620728306,"하버39는 서귀포 천지연폭포로 가는 길 메종드씨엘 하버39 호텔 앤 리조트 (구. 천지연크리스탈호텔) 1층에 있다. 서귀포항 앞에 있는 카페이자 레스토랑으로 운영하고 있으며 레스토랑 메뉴는 오후 8시에 마감한다. 공간이 넓고 실내외 다양한 형태의 테이블이 준비되어 있고 바다는 보이지 않지만, 서귀포항이 보이고 건너편 칠십리시 절벽 쪽이 보인다. 하버39 카페는 '작가의 산책길 유토피아로'에 있다. 근처에 천지연폭포, 서귀포매일올레시장, 이중섭거리 등이 가까이 있다.",064-732-1814,,,호텔 주차장,0,,11:00 ~ 21:00  / 레스토랑 11:00 ~ 20:00,일요일,아메리카노,"하버치즈버거, 비프크림파스타, 카페라떼 등",,,,,,,20160631436
베메로 bake make roast,63535,,,제주특별자치도 서귀포시 중문관광로72번길 29-9 신우성타운라동,33.2496534392,126.4111246414,"베메로는 중문관광단지 내 롯데호텔 버스정류장 옆에 있다. 카페세렌디에서 베이크(Bake) 메이크(Make) 로스트(Roast) 라는 의미를 담아 새롭게 베메로로 바뀌었으며 이름에 나와 있는 것처럼 베이커리 카페이자 로스터리 카페이다. 커피는 매장에서 직접 로스팅하며 핸드드립과 에스프레소를 즐길 수 있고, 베이커리 파트에서는 베이글이 주메뉴다. 8:30에 오픈하므로 관광단지 내 숙박하는 여행자들이 아침 식사하기 좋으며 샌드위치 라스트 오더는 오후 5시까지이다.",064-738-7832,,,있음,0,,08:30 ~ 19:00 (브런치 08:30 ~ 17:00),연중무휴,커피,"베이글, 핸드드립 커피, 아보카도 에그 베이글 샌드위치, 천혜향 베이글 등",,,,,,,20170631506
당포로나인 돈카츠,63629,,,제주특별자치도 서귀포시 표선당포로 9,33.3257880323,126.8435882289,"당포로나인 돈카츠는 표선해수욕장과 표선항 사이에 있다. 표선해수욕장이 보이는 오션뷰 레스토랑으로 일식 돈카츠 전문 식당이다. 입구 쪽에서는 상상할 수 없는 바다 풍경이 창가에 펼쳐지기 때문에 소문 듣고 찾아오는 여행자가 많다. 실내는 깔끔한 인테리어에 어린이 의자가 구비되어 있으며 공간이 셋으로 나누어져 있어 아늑한 맛이 있다. 카츠는 신선한 재료를 사용해 기본에 충실하고 치즈콤포카츠가 대표메뉴이다. 주변 여행지로 표선해수욕장, 소금막 해변 등이 있다.",0507-1330-8286,,,있음,0,,"11:00 ~ 20:30 ( 브레이크타임 15:30~17:00,  라스트오더 19:30)",일요일,치즈콤포카츠,"모듬카츠, 제주흑돈카츠, 제주피쉬카츠, 우동 등",,,,,,,20220903409
평대스낵,63360,,,제주특별자치도 제주시 대수길 26,33.5366396491,126.8379755451,"평대스낵은 제주 평대리 해안가에 있다. 실내는 빈티지하며 작은 공간이지만, 옥상 테이블에서 바다를 보며 음식을 즐기는 오션뷰 분식집이다. 수요미식회에 방송된 이후 더 많은 여행자들이 찾아온다. 재료가 모두 신선하고, 특히 한치튀김은 제주에서 맛볼 수 있는 시그니처 메뉴다. 반려동물과 함께 입장할 수 있고, 캠핑장이나 집에서 손쉽게 조리해 먹을 수 있도록 밀키트도 판매하고 있다. 주변 여행지로 평대해변, 세화해변, 월정리해변 등이 있다.",070-8825-3524,,,없음,0,,11:00 ~16:00,연중무휴,떡볶이,"한치튀김, 왕새우튀김, 2인세트 등",,,,,,,20190620650
그레이그로브,63528,,,제주특별자치도 서귀포시 형제해안로 70,33.2258737598,126.2998264940,"그레이그로브는 사계해안가 형제해안도로에 있다. 오래된 감자 창고를 재생한 공간으로 제주의 정취와 감성이 느껴지며 2층에서는 사계리 해안과 산방산을 조망할 수 있다. 유명 로스터리의 신선한 원두를 공급받아 커피를 만들고 비건베이커리를 제공한다. 시그니처는 사계소금빵이다. 카페의 마스코트인 고양이 보름이가 있고 굿즈인 그그티셔츠를 판매한다. 가끔 파티를 열기도 한다. 주변 여행지로 사계해안, 송악산, 산방산, 용머리해안 등이 있다.",010-9155-1935,,,있음,0,,매일 11:00 ~ 18:00,연중무휴,아메리카노,"소금빵, 카페라떼, 바닐라라떼, 시그니쳐블랙, 제주착즙쥬스 등",,,,,,,20110631089
연월,63036,,,제주특별자치도 제주시 고하상로 102,33.4570406106,126.3469144640,"제주 연월은 하가리 연화지 근처에 있다. 동화책 같은 핑크와 민트 컬러의 출입문과 달리 내부는 빈티지 하고 천창을 통해선 빛이 들어오는 반전이 있다. 테이블 7개 정도 규모다. 꾸덕꾸덕한 치즈를 찍어 먹는 연월돈가스와 양파채가 올라간 양파돈가스가 시그니처 메뉴이다. 연월돈가스의 경우 한정 수량만 판매하여 테이블당 한 개만 주문할 수 있다. 키오스크를 통해 주문하는 시스템이다. 연령대별로 선호할만한 메뉴 구성으로 가족 여행자가 많이 찾는다. 주변 여행지로 연화지, 고내포구, 상가리야자숲 등이 있다. 
※반려동물 동반 불가",0507-1330-6842,,,매장 맞은편 주차선,0,,10:00 ~ 19:00 (18:00 라스트오더),일요일,연월돈가스,"양파돈가스, 크림우동, 비빔우동, 치즈돈가스 등",,,,,테이블링앱 예약 가능,,20190622132
조각가 해물라면 바다보는날 애월해안도로점,63049,,,제주특별자치도 제주시 애월해안로 722,33.4839603437,126.3780111538,"조각가 해물라면 바다보는날 애월해안도로점은 구엄포구 근처에 있다. 유명 셰프가 인정한 맛집으로 알려져 있으며 꽃게 한 마리가 들어 있는 라면, 문어 한 마리가 들어있는 라면, 한치 한 마리가 들어 있는 라면 등 푸짐한 해물로 여행자들의 인증샷 맛집이기도 하다. 이 밖에 돈가스와 추억의 도시락 등의 메뉴가 있으며, 한라봉 아이스크림도 판매한다. 오션뷰 라면집이고, 매장 한쪽에서는 소품 샵도 운영한다. 주변 여행지로 구엄포구, 구엄리돌염전, 수산봉 등이 있다.",064-748-7411,,,있음,0,,"10:00 ~ 20:00 (15:00~16:30 브레이크타임, 19:30 라스트오더)",연중무휴,"해물듬뿍라면, 문어전복라면, 한치튀김","눈꽃치즈돈가스, 추억의 도시락 등",,,,,,,20150627209
릴로,63364,,,제주특별자치도 제주시 종달로 60-12,33.4926204410,126.8951021611,"릴로는 종달초등학교 근처에 있다. 블란서 기사식당을 표방하며 프랑스 가정식을 선보인다. 대표메뉴로 감자수프, 수비드비프타르틴 등이 있으며 소박하고 아기자기한 인테리어와 차림새가 좋은 건강식으로 여성 여행자들에게 인기다. 아침 9시에 오픈하여 오후 3시까지만 문을 여는 브런치 카페로 저녁에는 프랑스어를 가르친다. 영업시간과 매주 월, 화요일 정기휴무, 인터넷 주문도 가능하니 헛걸음하지 않도록 미리 체크하는 것이 좋겠다.",0507-1337-4945,,,매장 옆,0,,09:00 ~ 15:00 (14:30 라스트오더),"월, 화요일",제주감자수프,"릴로플레이트, 토마토치킨수프, 수비드비프타르틴 등",,,,,,,20180621401
동복뚝배기,63347,,,제주특별자치도 제주시 동복로 30-21층,33.5532162949,126.7093335545,"동복뚝배기는 제주 동복 입구 교차로에서 250m 정도 마을 쪽으로 있다. 매장 안으로 들어가면 통유리를 통해 통갈치 굽는 모습 등 조리 장면을 볼 수 있으며 바다 방향으로는 길 건너 동복리 앞바다가 보인다. 수협 어판장에서 직접 수매해 오는 갈치로 1.3m 접시에 담아내는 통갈치구이 세트가 인기 메뉴이며, 전복뚝배기는 그 자체로 미니 해물탕 비주얼로 즐길 수 있다. 주변 여행지로 북촌환해장성, 창꼼바위, 청굴물 등이 있다.",064-782-7200,,,있음,0,,09:00 ~ 21:00 ( 라스트오더 20:00),연중무휴,A세트(통갈치구이),"B세트(갈치조림), C세트(뚝배기세트), 전복뚝배기, 성게미역국 등",,,,,,,20160627746
